SSA,SSA-ids,USA,VP,asr,asr-conf,asr-dist,asr-time,attempt,avg-asr-conf,avg-asr-dist,avg-length,barge-in,count-SSA-ASKCONFIRM,count-SSA-ASKFORINFO,count-SSA-CONFIRM,count-SSA-DETAILS,count-SSA-INFO,count-SSA-NAV,count-SSA-SORRY,count-SSA-WELCOME,count-barge-in,count-words-sum,count-words-system,count-words-user,end,label,length,rating,rating-1,rating-backup,rating-avgLinear,rating-closest,rating-closestAfter,rating-complete,rating-latest,rating-latestInTurn,speakers,start,task,text-system,text-user,turn,words-sum,words-system,words-user,rating-closestAfterOrLatest,pc-1-1,pc-2-1,pc-2-2,pc-3-1,pc-3-2,pc-3-3,pc-4-1,pc-4-2,pc-4-3,pc-4-4,pc-5-1,pc-5-2,pc-5-3,pc-5-4,pc-5-5,pc-6-1,pc-6-2,pc-6-3,pc-6-4,pc-6-5,pc-6-6,pc-7-1,pc-7-2,pc-7-3,pc-7-4,pc-7-5,pc-7-6,pc-7-7,pc-8-1,pc-8-2,pc-8-3,pc-8-4,pc-8-5,pc-8-6,pc-8-7,pc-8-8,pc-9-1,pc-9-2,pc-9-3,pc-9-4,pc-9-5,pc-9-6,pc-9-7,pc-9-8,pc-9-9,SSA-ASKCONFIRM,SSA-ASKFORINFO,SSA-DETAILS,SSA-INFO,SSA-NAV,SSA-SORRY,SSA-WELCOME
INFO ASKFORINFO DETAILS,3,0,2,,0,-1,,1,,,14.6666666667,0,0,2,0,1,1,1,0,1,0,80,80,0,46,221,18,2,1,4,4,4,4,4,4,4,s,28,2,Gut. Xtra-Tarife. Zunächst Ihr Status zum gewünschten Thema. Ihr derzeiter Tarif ist Xtra Nonstop wählen Sie nun bitte eins der folgenden Tarifthemen aus: Kurzinfo Preise Detailinfos oder Optionen.,,221,28,28,0,4,-0.9221808864,-0.9221808864,-0.1951067226,-0.9221808864,-0.1951067226,1.1255283152,-0.9221808864,-0.1951067226,1.1255283152,0.6473271207,-0.9221808864,-0.1951067226,1.1255283152,0.6473271207,1.0246890899,-0.9221808864,-0.1951067226,1.1255283152,0.6473271207,1.0246890899,0.64118364,-0.9221808864,-0.1951067226,1.1255283152,0.6473271207,1.0246890899,0.64118364,0.1245654517,-0.9221808864,-0.1951067226,1.1255283152,0.6473271207,1.0246890899,0.64118364,0.1245654517,0.4585124252,-0.9221808864,-0.1951067226,1.1255283152,0.6473271207,1.0246890899,0.64118364,0.1245654517,0.4585124252,-0.2512711603,0,1,1,1,0,0,0
ASKFORINFO,4,0,2,,0,-1,,1,,,19,0,0,3,0,1,1,1,0,1,0,179,179,0,98,221,47,2,1,5,4,,,,5,5,s,51,2,Okay. Xtra-Optionen. Mit diesen Optionen können Sie Ihren Tarif individuell gestalten. Hier ein Überblick: Sollte Sie eine der Optionen besonders interessieren sagen Sie mir einfach das entsprechende Stichwort. Option Xtra Nonstop: zahlen Sie nur noch für die erste Gesprächsminute. Dies und noch mehr bietet die Option Xtra Nonstop Plus. Damit können Sie zusätzlich einhundert S_ M_ S_ am Tag für neunundzwanzig Cent versenden. Buchbar ist die Xtra Nonstop Option in den meisten Xtra-Tarife. Xtra Weekend: am Wochenende für null Cent telefonieren. Xtra S_ M_ S_ Sparoptionen: Schon ab fünf Cent S_ M_ S_ versenden. Die Datenoption Xtra Web'n'Walk Starter.,,221,99,99,0,5,-3.1990515957,-3.1990515957,-1.3608891535,-3.1990515957,-1.3608891535,0.0424151498,-3.1990515957,-1.3608891535,0.0424151498,1.5517671848,-3.1990515957,-1.3608891535,0.0424151498,1.5517671848,0.6176001208,-3.1990515957,-1.3608891535,0.0424151498,1.5517671848,0.6176001208,0.850066441,-3.1990515957,-1.3608891535,0.0424151498,1.5517671848,0.6176001208,0.850066441,-0.0111733942,-3.1990515957,-1.3608891535,0.0424151498,1.5517671848,0.6176001208,0.850066441,-0.0111733942,-0.424342218,-3.1990515957,-1.3608891535,0.0424151498,1.5517671848,0.6176001208,0.850066441,-0.0111733942,-0.424342218,-0.1362537012,0,1,0,1,0,0,0
,0,1,2,was ist mein aktueller tarif,64,1,26,1,64,1,18.1428571429,0,0,3,0,1,1,1,0,1,0,184,179,5,25,221,2,,,3,,,,,,,u,23,2,,Was ist mein aktueller Tarif?,221,5,0,5,3,2.0254157947,2.0254157947,-0.845775775,2.0254157947,-0.845775775,0.9602729871,2.0254157947,-0.845775775,0.9602729871,0.8789594749,2.0254157947,-0.845775775,0.9602729871,0.8789594749,1.5686789431,2.0254157947,-0.845775775,0.9602729871,0.8789594749,1.5686789431,0.0033563797,2.0254157947,-0.845775775,0.9602729871,0.8789594749,1.5686789431,0.0033563797,-0.503705717,2.0254157947,-0.845775775,0.9602729871,0.8789594749,1.5686789431,0.0033563797,-0.503705717,-1.0566204893,2.0254157947,-0.845775775,0.9602729871,0.8789594749,1.5686789431,0.0033563797,-0.503705717,-1.0566204893,0.0456004727,0,0,0,0,0,0,0
,0,1,2,optionen,79,0,48,1,71.5,0.5,16,0,0,3,0,1,1,1,0,1,0,185,179,6,47,221,1,2,1,4,,4,,4,4,4,u,46,2,,Optionen.,221,1,0,1,4,1.4350695918,1.4350695918,-0.1549574379,1.4350695918,-0.1549574379,1.0458255914,1.4350695918,-0.1549574379,1.0458255914,0.7186670666,1.4350695918,-0.1549574379,1.0458255914,0.7186670666,1.3455476661,1.4350695918,-0.1549574379,1.0458255914,0.7186670666,1.3455476661,0.2740341771,1.4350695918,-0.1549574379,1.0458255914,0.7186670666,1.3455476661,0.2740341771,1.2983513027,1.4350695918,-0.1549574379,1.0458255914,0.7186670666,1.3455476661,0.2740341771,1.2983513027,-0.7608940419,1.4350695918,-0.1549574379,1.0458255914,0.7186670666,1.3455476661,0.2740341771,1.2983513027,-0.7608940419,0.0164413579,0,0,0,0,0,0,0
ASKFORINFO WELCOME,15,0,2,,0,-1,,1,,,27,0,0,1,0,0,0,0,0,1,0,59,59,0,27,231,27,,,3,,,,,,,s,0,3,Hallo und Herzlich Willkommen beim Kundenservice der Telekom. Schön dass Sie unser Kunde sind. Dieser Anruf ist kostenfrei. Ich habe einige interessante Tipps unter anderem zu den Themen Xtra-Optionen sowie Xtra-Guthaben. Neugierig? Dann sagen Sie jetzt Tipp. Sie können mir aber auch jetzt direkt Ihr Anliegen nennen als Stichwort oder im ganzen Satz. Probieren Sie es einfach mal aus.,,231,59,59,0,3,-1.7545823582,-1.7545823582,-0.8150662262,-1.7545823582,-0.8150662262,0.7827202184,-1.7545823582,-0.8150662262,0.7827202184,0.8146442989,-1.7545823582,-0.8150662262,0.7827202184,0.8146442989,1.0480217908,-1.7545823582,-0.8150662262,0.7827202184,0.8146442989,1.0480217908,0.8433993057,-1.7545823582,-0.8150662262,0.7827202184,0.8146442989,1.0480217908,0.8433993057,0.0970188279,-1.7545823582,-0.8150662262,0.7827202184,0.8146442989,1.0480217908,0.8433993057,0.0970188279,0.1870163106,-1.7545823582,-0.8150662262,0.7827202184,0.8146442989,1.0480217908,0.8433993057,0.0970188279,0.1870163106,-0.0145847008,0,1,0,1,0,0,1
INFO ASKFORINFO DETAILS,3,0,2,,0,-1,,1,,,23.5,0,0,2,0,1,1,0,0,1,0,90,90,0,48,231,20,,,3,,,,,,,s,28,3,Gut Xtra-Tarife. Zunächst Ihr Status zum gewünschten Thema. Ihr derzeiter Tarif ist Xtra Nonstop der ersten Generation wählen Sie nun bitte eins der folgenden Tarifthemen aus: Kurzinfo Preise Detailinfos oder Optionen.,,231,31,31,0,3,-1.0470962677,-1.0470962677,-0.2643094876,-1.0470962677,-0.2643094876,1.0604912895,-1.0470962677,-0.2643094876,1.0604912895,0.6849580851,-1.0470962677,-0.2643094876,1.0604912895,0.6849580851,1.0038450609,-1.0470962677,-0.2643094876,1.0604912895,0.6849580851,1.0038450609,0.6516954174,-1.0470962677,-0.2643094876,1.0604912895,0.6849580851,1.0038450609,0.6516954174,0.1160037078,-1.0470962677,-0.2643094876,1.0604912895,0.6849580851,1.0038450609,0.6516954174,0.1160037078,0.4099503287,-1.0470962677,-0.2643094876,1.0604912895,0.6849580851,1.0038450609,0.6516954174,0.1160037078,0.4099503287,-0.2856121435,0,1,1,1,0,0,0
ASKFORINFO,4,0,2,,0,-1,,1,,,21.6666666667,0,0,3,0,1,1,0,0,1,0,125,125,0,67,231,18,,,3,,,,,,,s,49,3,Okay Xtra-Optionen. Mit diesen Optionen können Sie Ihren Tarif individuell gestalten. Hier ein Überblick. Sollte Sie eine der Optionen besonders interessieren sagen Sie mir einfach das entsprechende Stichwort. Xtra Nonstop Plus nur die erste Minute,,231,35,35,0,3,-1.0495474076,-1.0495474076,-0.163027454,-1.0495474076,-0.163027454,1.0304410825,-1.0495474076,-0.163027454,1.0304410825,0.7614391963,-1.0495474076,-0.163027454,1.0304410825,0.7614391963,0.9123299496,-1.0495474076,-0.163027454,1.0304410825,0.7614391963,0.9123299496,0.5929765269,-1.0495474076,-0.163027454,1.0304410825,0.7614391963,0.9123299496,0.5929765269,0.1126797991,-1.0495474076,-0.163027454,1.0304410825,0.7614391963,0.9123299496,0.5929765269,0.1126797991,0.3901779427,-1.0495474076,-0.163027454,1.0304410825,0.7614391963,0.9123299496,0.5929765269,0.1126797991,0.3901779427,-0.0956163619,0,1,0,1,0,0,0
,0,0,2,,0,-1,,1,,,17,0,0,3,0,1,1,0,0,1,0,160,160,0,88,231,17,,,3,,,,,,,s,71,3,Mit Xtra Weekend können Sie am Wochenende für null Cent telefonieren. Der Optionspreis beträgt lediglich vier Euro neunundneunzig monatlich. Zu Xtra Weekend habe ich übrigens noch mehr. Wünschen Sie zu diesem Thema noch zusätzliche Informationen?,,231,35,35,0,3,-1.024905176,-1.024905176,-0.03711742,-1.024905176,-0.03711742,1.0087096056,-1.024905176,-0.03711742,1.0087096056,0.8384756329,-1.024905176,-0.03711742,1.0087096056,0.8384756329,0.8152308751,-1.024905176,-0.03711742,1.0087096056,0.8384756329,0.8152308751,0.5205911293,-1.024905176,-0.03711742,1.0087096056,0.8384756329,0.8152308751,0.5205911293,0.1059324097,-1.024905176,-0.03711742,1.0087096056,0.8384756329,0.8152308751,0.5205911293,0.1059324097,0.3743836436,-1.024905176,-0.03711742,1.0087096056,0.8384756329,0.8152308751,0.5205911293,0.1059324097,0.3743836436,-0.0455500799,0,0,0,0,0,0,0
INFO ASKFORINFO NAV,14,0,2,,0,-1,,1,,,16,0,0,4,0,1,2,1,0,1,0,183,183,0,101,231,11,,,3,,,,,,,s,90,3,Die Tarifoption Xtra Weekend ist bereits für Sie eingerichtet. Sie befinden Sich nun wieder am Start. Was kann ich noch für Sie tun?,,231,23,23,0,3,-0.6122383324,-0.6122383324,0.2920575398,-0.6122383324,0.2920575398,1.1702360784,-0.6122383324,0.2920575398,1.1702360784,0.7648311554,-0.6122383324,0.2920575398,1.1702360784,0.7648311554,0.7834104722,-0.6122383324,0.2920575398,1.1702360784,0.7648311554,0.7834104722,0.4098617595,-0.6122383324,0.2920575398,1.1702360784,0.7648311554,0.7834104722,0.4098617595,0.1220752218,-0.6122383324,0.2920575398,1.1702360784,0.7648311554,0.7834104722,0.4098617595,0.1220752218,0.5081057373,-0.6122383324,0.2920575398,1.1702360784,0.7648311554,0.7834104722,0.4098617595,0.1220752218,0.5081057373,-0.0099535343,0,1,0,1,1,0,0
INFO ASKCONFIRM,7,0,2,,0,-1,,1,,,17.5714285714,0,1,4,0,1,3,1,0,1,0,240,240,0,131,231,27,2,1,4,4,4,,4,4,4,s,104,3,Bevor wir zur Bestätigung kommen noch ein Hinweis. Xtra Weekend kann nur nach Ablauf eines Monats bezogen auf das Aktivierungsdatum deaktiviert werden. Je nachdem wann genau Sie diese Option gebucht haben ist Xtra Weekend also möglicherweise noch ein Paar Tage aktiviert. Dennoch nehmen wir natürlich Ihren Wunsch entgegen. Sie möchten also Xtra Weekend deaktivieren. Ist das richtig?,,231,57,57,0,4,-1.7844212303,-1.7844212303,-0.2936121014,-1.7844212303,-0.2936121014,0.6071995282,-1.7844212303,-0.2936121014,0.6071995282,1.2440943036,-1.7844212303,-0.2936121014,0.6071995282,1.2440943036,0.5601904802,-1.7844212303,-0.2936121014,0.6071995282,1.2440943036,0.5601904802,0.5047094384,-1.7844212303,-0.2936121014,0.6071995282,1.2440943036,0.5601904802,0.5047094384,0.0476453285,-1.7844212303,-0.2936121014,0.6071995282,1.2440943036,0.5601904802,0.5047094384,0.0476453285,0.0469646414,-1.7844212303,-0.2936121014,0.6071995282,1.2440943036,0.5601904802,0.5047094384,0.0476453285,0.0469646414,-0.0619500283,1,0,0,1,0,0,0
