user,task,attempt,start_time,text_system,text_user,asr_hypothesis,speaker,rating,asr_confidence,asr_time,barge-in,n_sys_words,n_user_words,sysTurnDuration,userTurnDuration,system_speech_act,WER,WER_moved,num_turns,num_sorry,mean_WER,mean_asr_conf,sum_barge,mean_sys_words,SSA_sorry,SSA_info,SSA_confirm
4,1,1,113,,"Bonuspunkteprogramme,",,u,2,0,,0,,1,,2,,0.6666666667,,6,1,0.4545454545,23,0,66.3333333333,,,
4,1,1,117,"Derzeit bieten wir kein aktuelles Bonusprogramm an, #NS Sie befinden sich nun wieder am Start, Was kann i-",,,s,,,,0,18,,8,,INFO NAV,,0.6666666667,1,0,0.6666666667,,0,18,0,1,0
5,1,1,0,"#NS Herzlich Willkommen beim Kundenservice der Telekom, Schön dass Sie unser Kunde sind, Dieser Anruf ist kostenfrei, Sie können bei mir wie bei einem Kundenberater Ihre Tarifeinstellungen ändern und sich informieren, Sie steuern mich indem Sie mit mir sprechen, Wenn Sie wollen unterbrechen Sie mich einfach, Bitte nennen Sie mir jetzt Ihr Anliegen,",,,s,,,,0,53,,22,,ASKFORINFO WELCOME NAV,,,,,,,,,0,0,0
5,1,1,22,,"Bonuspunkteprogramm,",bonus punkte programm,u,,70,26,0,,1,,2,,0,,,,,,,,,,
5,1,1,26,"Derzeit bieten wir kein aktuelles Bonusprogramm an, #NS Sie befinden sich nun wieder am Start, Was kann ich noch für Sie tun?",,,s,,,,0,22,,9,,INFO ASKFORINFO NAV,,0,,,,,,,0,1,0
5,1,1,35,,"Bonuspunkteprogramm,",bonus punkte programm,u,,68,41,0,,1,,2,,0,,,,,,,,,,
5,1,1,41,"Derzeit bieten wir kein aktuelles Bonusprogramm an, #NS Sie befinden sich nun wieder am Start,",,,s,,,,0,15,,7,,INFO NAV,,0,,,,,,,0,1,0
5,1,1,48,Was kann ich noch für,"Aha,",,s u,,0,,1,5,1,1,1,,0,,,,,,,,,,
5,1,1,50,,"Ja,",,u,,0,,0,,1,,1,,0,0,,,,,,,,,
5,1,1,53,"Entschuldigung ich konnte Sie leider nicht verstehen,",,,s,,,,0,7,,3,,SORRY,,0,8,1,0,34.5,1,20.4,1,0,0
